Bad, 3
christmas, 55
day, 145
fires, 36
leave, 56
600, 8
homeless, 22
9, 124
slain, 173
sibugay, 24
sea, 85
attack, 252
thieves, 35
rob, 77
baguio, 71
city, 671
pawnshop, 15
employee, 46
robbed, 39
shot, 325
dead, 905
makati, 221
break, 34
xmas, 3
fire, 393
razes, 20
300, 18
shanties, 6
muntinlupa, 17
gunmen, 64
kill, 140
badjaos, 1
zamboanga, 387
agents, 26
nab, 31
top, 75
drug, 275
suspect, 247
cop, 261
confirms, 26
mexican, 12
group, 182
presence, 7
phl, 75
chinese, 125
nabbed, 363
pasay, 52
gun, 256
possession, 11
cops, 422
man, 373
high, 61
powered, 10
firearms, 33
fireworks, 11
ban, 246
3, 571
oil, 119
leak, 22
barangays, 15
stays, 8
qc, 313
councilor, 56
cancel, 18
don, 15
mariano, 6
bus, 250
permit, 16
afp, 120
alert, 107
cpp, 18
marks, 15
45th, 2
year, 145
today, 33
mathay, 5
ex, 295
mayor, 344
dies, 176
81, 4
tertiary, 1
schools, 61
yolanda, 427
hit, 266
areas, 190
told, 72
reopen, 15
jan., 3
15, 79
tucp, 8
respects, 2
delay, 30
region, 19
6, 235
wage, 26
hike, 86
2, 1036
dinagat, 8
islands, 24
landslides, 22
butcher, 3
tagged, 75
partners, 6
slay, 222
falls, 105
isabela, 87
village, 237
exec, 172
eve, 14
hits, 345
bir, 39
building, 60
caloocan, 82
272, 1
tawi, 40
houses, 44
police, 559
seize, 31
84, 4
kilos, 3
shabu, 97
batangas, 96
raid, 68
heart, 21
report, 169
indian, 65
national, 52
killed, 747
sleepy, 2
surigao, 57
town, 265
pimentel, 26
wants, 137
senate, 291
probe, 339
binay, 128
row, 43
mindanao, 265
get, 97
additional, 10
power, 178
supply, 22
woman, 164
son, 96
malate, 4
chief, 422
family, 88
survive, 21
ambush, 199
ca, 102
affirms, 29
dismissal, 35
contempt, 26
case, 369
vs, 568
de, 201
lima, 152
calabarzon, 20
guns, 62
sealed, 5
nbi, 161
returns, 19
previous, 2
doj, 161
post, 76
trader, 34
official, 138
sex, 86
flight, 37
scheme, 29
lower, 14
penalty, 10
bodies, 67
