Good, 3
2013, 71
good, 22
year, 54
gph, 9
milf, 103
panels, 6
asg, 4
member, 10
nabbed, 57
sulu, 41
christmas, 38
day, 92
p420, 1
m, 170
shabu, 14
seized, 27
lipa, 4
raid, 14
3, 101
erap, 27
unveil, 5
statue, 5
late, 5
mayor, 67
lacson, 22
metro, 66
workers, 43
may, 82
get, 93
performance, 9
based, 5
pay, 31
hike, 30
paranaque, 10
prepares, 7
cash, 20
benefits, 12
senior, 22
citizens, 18
gifts, 5
2014, 33
investigators, 2
probing, 2
cause, 2
fire, 26
tawi, 22
town, 47
gensan, 8
airport, 22
puts, 3
tourism, 12
desk, 4
visually, 1
impaired, 1
upcat, 5
passer, 1
gets, 72
best, 20
gift, 5
elated, 5
over, 116
uns, 1
remark, 1
peace, 105
talks, 51
zambo, 50
thanks, 3
pnoy, 99
city, 176
rehab, 29
package, 1
mmda, 100
fetes, 1
220, 1
volunteers, 11
yolanda, 158
relief, 64
kidapawan, 15
police, 93
no, 131
clue, 1
whereabouts, 1
escaped, 3
inmates, 11
sm, 11
bay, 16
project, 51
pasay, 14
councils, 3
nod, 8
noy, 27
inaugurates, 2
tarlac, 14
section, 2
p24, 4
b, 41
tplex, 4
yearender, 1
peaceful, 28
c., 7
mindanao, 74
farmers, 44
probers, 3
enhance, 2
videos, 1
fortun, 4
attacker, 1
footage, 1
fortuns, 2
wifes, 2
shooter, 1
be, 105
sent, 6
crame, 3
enhancement, 1
film, 3
industry, 4
rally, 44
behind, 10
head, 19
mayors, 26
ncrpo, 28
bans, 6
caps, 1
mall, 14
goers, 2
airasias, 1
transfer, 12
naia, 17
affects, 1
clark, 13
video, 12
attack, 16
wife, 25
drug, 39
test, 23
mulled, 1
isabela, 21
malabon, 6
holds, 14
concert, 4
benguet, 9
veggies, 1
selling, 6
briskly, 1
taiwanese, 2
sting, 1
ngcp, 3
power, 80
supply, 18
stable, 8
qc, 63
gives, 36
aid, 44
first, 61
time, 37
jobseekers, 1
congresswomen, 1
bring, 14
goods, 28
survivors, 29
red, 19
tide, 9
remains, 14
sur, 36
bataan, 8
waters, 5
abducted, 18
tourist, 4
recovered, 7
vice, 13
17, 12
bgay, 8
execs, 53
face, 23
graft, 5
raps, 25
victims, 87
receive, 11
p3.5, 1
alcantara, 1
group, 63
bulacan, 19
now, 42
insurgency, 6
free, 65
roll, 1
out, 64
security, 56
measures, 10
holidays, 7
armm, 92
bares, 10
p1b, 4
savings, 10
shooting, 14
shes, 2
saint, 2
im, 4
target, 6
cojuangcos, 2
bets, 120
sweep, 7
negros, 42
abc, 1
polls, 125
inc, 19
wraps, 2
mission, 20
samar, 27
ups, 1
august, 7
school, 51
opening, 13
nears, 2
approval, 8
226, 1
students, 24
basilan, 22
scholarship, 4
mar, 7
orders, 28
pnp, 97
immediately, 1
arrest, 14
robbers, 7
reds, 5
declare, 9
ceasefire, 11
cdo, 6
marks, 15
2nd, 9
anniversary, 30
typhoon, 41
sendong, 1
illegal, 23
aliens, 1
enter, 4
phl, 35
26, 4
water, 32
buffaloes, 1
mlang, 2
five, 4
special, 23
citation, 2
hard, 7
work, 41
decentralized, 2
exams, 15
sought, 12
eye, 3
groups, 55
north, 36
