Month, Bad
December, http://www.philstar.com/metro/2013/12/27/1272302/christmas-day-fires-leave-600-homeless
December, http://www.philstar.com/nation/2013/12/27/1272217/9-slain-sibugay-sea-attack
December, http://www.philstar.com/nation/2013/12/27/1272218/thieves-rob-baguio-city-pawnshop
December, http://www.philstar.com/nation/2013/12/26/1272198/pawnshop-employee-robbed-shot-dead-makati
December, http://www.philstar.com/nation/2013/12/26/1272192/thieves-break-pawnshop-baguio-xmas-day
December, http://www.philstar.com/nation/2013/12/26/1272188/fire-razes-300-shanties-muntinlupa
December, http://www.philstar.com/nation/2013/12/26/1272187/gunmen-kill-9-badjaos-zamboanga
December, http://www.philstar.com/nation/2013/12/26/1272180/agents-nab-top-drug-suspect-zamboanga
December, http://www.philstar.com/nation/2013/12/26/1272179/top-cop-confirms-mexican-drug-group-presence-phl
December, http://www.philstar.com/nation/2013/12/26/1272177/chinese-nabbed-pasay-gun-possession
December, http://www.philstar.com/nation/2013/12/26/1272160/cops-nab-man-high-powered-firearms-pasay
December, http://www.philstar.com/nation/2013/12/26/1272191/makati-fireworks-ban-3-oil-leak-barangays-stays
December, http://www.philstar.com/metro/2013/12/26/1272020/qc-councilor-cancel-don-mariano-bus-permit
December, http://www.philstar.com/nation/2013/12/26/1271975/afp-high-alert-cpp-marks-45th-year-today
December, http://www.philstar.com/metro/2013/12/26/1272026/mathay-ex-qc-mayor-dies-81
December, http://www.philstar.com/nation/2013/12/26/1271976/tertiary-schools-yolanda-hit-areas-told-reopen-jan.-15
December, http://www.philstar.com/nation/2013/12/26/1271977/tucp-respects-delay-region-6-wage-hike
December, http://www.philstar.com/nation/2013/12/26/1271978/2-dead-dinagat-islands-landslides
December, http://www.philstar.com/metro/2013/12/26/1272031/butcher-tagged-partners-slay-falls
December, http://www.philstar.com/nation/2013/12/26/1271979/isabela-village-exec-shot-dead-christmas-eve
December, http://www.philstar.com/metro/2013/12/26/1272032/fire-hits-bir-building-caloocan
December, http://www.philstar.com/nation/2013/12/26/1271980/fire-razes-272-tawi-tawi-houses
December, http://www.philstar.com/nation/2013/12/25/1271936/police-seize-84-kilos-shabu-batangas-raid
