Month, Good
December, http://www.rappler.com/nation/46715-malacanang-asked-release-funds-fighter-jets
December, http://www.rappler.com/nation/46601-loboc-christmas-eve-mass
December, http://www.rappler.com/nation/46684-abu-sayyaf-member-arrest-christmas-day
December, http://www.rappler.com/nation/46646-pope-francis-christmas-message-philippines
December, http://www.rappler.com/nation/46625-wounded-soldiers-christmas
December, http://www.rappler.com/nation/46573-christmas-palo-leyte
December, http://www.rappler.com/nation/46572-christmas-bohol-simbang-gabi-ruins
December, http://www.rappler.com/business/46503-aquino-tarlac-toll-road-tplex
December, http://www.rappler.com/business/industries/173-power-and-energy/46492-supreme-court-halts-meralco-rate-hike
December, http://www.rappler.com/nation/46483-protect-typhoon-workers
December, http://www.rappler.com/nation/46452-leyte-home-before-christmas
December, http://www.rappler.com/nation/46459-upcat-2014-results
December, http://www.rappler.com/nation/46430-cbcp-survey-contraception-gay-unions-divorce
December, http://www.rappler.com/nation/46393-west-point-grad-appointed-bi-commissioner
December, http://www.rappler.com/nation/46386-ban-ki-moon-aquino-palace
December, http://www.rappler.com/nation/46363-ban-ki-moon-manila-arrival
December, http://www.rappler.com/nation/46327-one-year-sin-tax-public-health-impact
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/46306-lacson-disaster-agency-rehabilitation-yolanda
December, http://www.rappler.com/nation/46281-deped-no-mass-lay-off-rationalization-program
December, http://www.rappler.com/nation/46264-zambo-mayor-award-soldiers
December, http://www.rappler.com/nation/46263-aquino-toym-source-of-hope-comfort
December, http://www.rappler.com/nation/46256-brand-new-choppers-navy
December, http://www.rappler.com/nation/46258-senate-open-to-charter-change-in-2014
December, http://www.rappler.com/nation/46246-negros-san-carlos-solar-farm-doe
December, http://www.rappler.com/nation/46252-drilon-joins-calls-to-review-epira
December, http://www.rappler.com/nation/46221-sandiganbayan-arroyo-holidays
December, http://www.rappler.com/nation/46185-san-pedro-laguna-cityhood-plebiscite
December, http://www.rappler.com/nation/politics/elections-2013/46190-toss-coin-city-council-seat-roel-pacquiao
December, http://www.rappler.com/nation/46181-deped-liberal-arts-senior-high-school
December, http://www.rappler.com/nation/46170-yolanda-victims-kerry
December, http://www.rappler.com/nation/46147-kerry-visits-typhoon-ravaged-tacloban
December, http://www.rappler.com/nation/46118-kerry-cemeteries-showcase-close-philippine-us-ties
December, http://www.rappler.com/move-ph/issues/disasters/typhoon-yolanda/46087-lacson-budget-yolanda-rehabilitation
December, http://www.rappler.com/nation/46112-us-40-million-philippines-security
