christmas, 94
day, 237
fires, 38
leave, 78
600, 11
homeless, 23
9, 152
slain, 182
sibugay, 28
sea, 101
attack, 268
thieves, 37
rob, 84
baguio, 97
city, 847
pawnshop, 16
employee, 50
robbed, 43
shot, 334
dead, 925
makati, 287
break, 40
xmas, 4
fire, 419
razes, 20
300, 19
shanties, 7
muntinlupa, 23
gunmen, 72
kill, 144
badjaos, 2
zamboanga, 488
agents, 28
nab, 34
top, 130
drug, 314
suspect, 263
cop, 305
confirms, 33
mexican, 12
group, 245
presence, 16
phl, 110
chinese, 154
nabbed, 420
pasay, 66
gun, 296
possession, 12
2013, 130
good, 48
year, 199
gph, 18
milf, 202
panels, 7
cops, 506
man, 391
high, 90
powered, 11
firearms, 40
asg, 13
member, 61
sulu, 115
fireworks, 12
ban, 314
3, 672
oil, 142
leak, 22
barangays, 24
stays, 10
qc, 379
councilor, 65
cancel, 19
don, 16
mariano, 6
bus, 286
permit, 18
p420, 1
m, 426
shabu, 111
seized, 102
lipa, 4
raid, 82
erap, 97
unveil, 6
statue, 8
late, 18
mayor, 411
lacson, 84
afp, 182
alert, 129
cpp, 22
marks, 30
45th, 3
today, 48
mathay, 5
ex, 346
dies, 198
81, 5
tertiary, 1
schools, 90
yolanda, 588
hit, 320
areas, 241
told, 99
reopen, 20
jan., 5
15, 99
metro, 277
workers, 163
may, 234
get, 190
performance, 15
based, 10
pay, 92
hike, 116
tucp, 9
respects, 3
delay, 35
region, 33
6, 272
wage, 36
paranaque, 53
prepares, 22
cash, 80
benefits, 26
senior, 42
citizens, 28
2, 1205
dinagat, 14
islands, 26
landslides, 23
butcher, 3
tagged, 81
partners, 7
slay, 233
falls, 112
isabela, 108
village, 278
exec, 215
eve, 18
hits, 365
bir, 51
building, 86
caloocan, 104
272, 1
tawi, 62
houses, 49
gifts, 16
2014, 79
police, 652
seize, 36
84, 5
kilos, 4
batangas, 109
heart, 29
report, 194
investigators, 8
probing, 15
cause, 30
town, 312
gensan, 28
airport, 107
puts, 21
tourism, 24
desk, 4
indian, 73
national, 83
killed, 766
sleepy, 2
surigao, 60
pimentel, 35
wants, 179
senate, 455
probe, 381
binay, 205
row, 54
mindanao, 339
additional, 21
power, 258
supply, 40
visually, 1
impaired, 1
upcat, 5
passer, 1
gets, 194
best, 22
gift, 18
elated, 5
over, 851
uns, 1
remark, 4
peace, 202
talks, 151
woman, 186
son, 119
malate, 5
chief, 555
family, 115
survive, 24
ambush, 203
ca, 136
affirms, 35
dismissal, 41
contempt, 28
case, 419
vs, 666
de, 239
lima, 173
calabarzon, 25
guns, 68
sealed, 5
nbi, 185
returns, 30
previous, 3
doj, 182
post, 100
trader, 47
official, 167
sex, 105
flight, 44
scheme, 40
lower, 24
penalty, 10
bodies, 75
found, 312
lifts, 17
number, 68
coding, 35
holidays, 16
allots, 15
p66m, 3
pamaskong, 1
handog, 1
zambo, 273
thanks, 8
pnoy, 209
rehab, 71
package, 8
ndf, 12
vows, 114
uphold, 4
holiday, 58
ceasefire, 40
guv, 7
asks, 142
stude, 1
leaders, 92
support, 92
ncrpo, 65
no, 564
caps, 4
sunnies, 1
inside, 58
malls, 19
mmda, 259
fetes, 2
220, 1
volunteers, 23
relief, 199
accused, 91
violating, 31
truce, 32
driver, 91
deadly, 46
skyway, 18
crash, 134
kidapawan, 45
clue, 2
whereabouts, 2
escaped, 10
inmates, 37
sm, 37
bay, 52
project, 105
councils, 5
nod, 13
noy, 63
inaugurates, 5
tarlac, 40
section, 3
p24, 5
b, 93
tplex, 4
court, 355
junks, 64
ivler, 3
moms, 1
bid, 100
dismiss, 7
obstruction, 5
charge, 44
yearender, 3
peaceful, 49
c., 9
farmers, 90
probers, 35
enhance, 4
videos, 5
fortun, 7
attacker, 5
cdo, 47
caretaker, 10
loses, 91
wife, 132
kids, 84
ruins, 9
taclobans, 4
disaster, 111
maps, 7
slaughters, 1
partner, 23
lpa, 133
trough, 6
bring, 74
rains, 170
mulls, 58
banning, 5
sunglasses, 2
p1.5, 4
iloilo, 115
bust, 69
shorter, 4
hours, 40
mrt, 72
lrt, 52
dec., 5
24, 26
25, 36
teen, 81
sets, 80
house, 332
hurls, 1
pillbox, 2
near, 127
church, 133
bolt, 10
jail, 158
warehouse, 20
blaze, 19
under, 151
control, 62
maguindanao, 296
treasurer, 19
identified, 20
footage, 4
fortuns, 3
wifes, 7
shooter, 10
be, 347
sent, 27
crame, 19
enhancement, 1
contained, 2
after, 530
17, 39
bayan, 24
sc, 481
scrap, 42
automatic, 4
recoveries, 1
firms, 54
armm, 167
firing, 20
fitness, 4
first, 164
liable, 12
stolen, 38
items, 13
ok, 23
p10, 35
deferment, 6
visayas, 193
film, 12
industry, 12
rally, 116
behind, 52
head, 80
mayors, 133
prepare, 22
provl, 5
attackers, 8
surge, 14
passengers, 57
terminals, 8
ports, 21
continue, 82
rise, 58
has, 118
identities, 1
suspects, 169
unicef, 5
spirit, 8
very, 20
strong, 43
tacloban, 154
normal, 16
operations, 96
during, 81
ndrrmc, 109
death, 397
count, 36
lull, 3
again, 39
kills, 236
mother, 57
mandaluyong, 34
bans, 28
mall, 75
goers, 4
wanted, 46
kin, 63
ecija, 50
arrested, 302
milligrams, 1
sale, 24
life, 84
14, 55
years, 120
airasias, 1
transfer, 50
naia, 71
affects, 16
clark, 23
residents, 101
protest, 124
scrapping, 13
midnight, 11
mass, 61
psinan, 47
wraps, 8
mission, 42
leyte, 120
video, 61
test, 67
mulled, 7
malabon, 59
holds, 32
concert, 5
armed, 53
men, 177
storm, 180
banana, 9
plantation, 14
sur, 206
benguet, 57
veggies, 1
selling, 47
briskly, 1
taiwanese, 24
sting, 14
malolos, 7
water, 125
tower, 22
set, 164
demolition, 19
cayetano, 96
dasma, 4
tourist, 34
kidnapped, 60
malaysia, 82
rescued, 95
oplan, 10
hatid, 3
leads, 53
alros, 1
final, 61
journey, 3
home, 91
lawmaker, 111
blames, 23
crisis, 108
poll, 294
students, 91
file, 57
raps, 317
psba, 15
officials, 162
npa, 375
amazon, 3
cagayan, 123
carnage, 2
yields, 32
shoots, 35
colleague, 6
party, 158
ngcp, 10
stable, 13
gives, 75
aid, 128
time, 103
jobseekers, 2
congresswomen, 1
goods, 75
survivors, 94
motorcyclist, 2
bike, 16
despite, 93
army, 199
remain, 27
courier, 5
service, 50
branch, 9
extort, 15
espinas, 1
pasig, 65
red, 56
tide, 15
remains, 54
bataan, 35
waters, 29
steady, 3
del, 164
nephew, 19
buried, 22
hometown, 3
abducted, 45
recovered, 38
northeast, 18
monsoon, 49
northern, 71
central, 79
luzon, 190
not, 460
yet, 80
justice, 94
courting, 3
electoral, 6
issue, 43
fiscals, 25
agree, 27
another, 150
massacre, 148
mistakenly, 4
vice, 88
bgay, 26
execs, 189
face, 146
graft, 101
eyes, 85
stricter, 9
measure, 16
squatting, 1
girl, 85
5, 359
hurt, 543
nlex, 20
accident, 118
fix, 9
traffic, 153
tells, 91
govt, 447
pawb, 3
probes, 47
dugong, 2
palawan, 87
riders, 3
suffer, 13
hour, 25
long, 30
wait, 13
trains, 10
spill, 72
cleanup, 20
complain, 8
unpaid, 18
wages, 6
knew, 2
about, 70
lightning, 21
pastries, 1
laced, 3
poppy, 3
seeds, 5
sold, 13
pinoys, 41
saudi, 63
road, 170
mishap, 104
mild, 11
